PID,POS,X,Y
22,12,-124.95947439800,48.05230182170
22,13,-124.79740851200,48.35620469980
22,14,-124.87121993200,48.34980923830
23,1,-125.71560757400,48.47572435570
23,2,-125.61862377600,48.28241456070
23,3,-124.87121993200,48.34980923830
23,4,-124.93256300200,48.51743299020
23,5,-125.71560757400,48.47572435570
24,1,-125.61862377600,48.28241456070
24,2,-125.51636058000,48.11479434670
24,3,-125.20823256100,48.15925424560
24,4,-125.04387634400,47.70293234450
24,5,-124.79565546400,47.39424621010
24,6,-124.94455297800,47.02701271150
24,7,-124.45066622900,46.55126631730
24,8,-124.39074615600,46.27182046820
24,9,-124.28676840200,46.27840800610
24,10,-124.58106705200,46.96863343730
24,11,-124.83552213000,47.06182308490
24,12,-124.71693133100,47.36277463860
24,13,-124.98872015400,47.74331257280
24,14,-125.00820083000,48.05821329380
24,15,-124.87121993200,48.34980923830
24,16,-125.61862377600,48.28241456070
25,1,-124.28676840200,46.27840800610
25,2,-124.39074615600,46.27182046820
25,3,-124.62548861800,45.94018055220
25,4,-124.49806649100,45.77459800210
25,5,-124.34136248300,44.97913393450
25,6,-124.66509970400,44.52959270910
25,7,-124.93580298500,44.25217148740
25,8,-124.92567671300,43.90284562010
25,9,-124.60761939400,43.92509935300
25,10,-124.55777458500,43.78295498250
25,11,-124.74621448500,43.07888736270
25,12,-124.85891416600,42.99350866000
25,13,-124.74188414300,42.95183146500
25,14,-124.45023528300,43.79063475390
25,15,-124.55463457800,44.00142589700
25,16,-124.88193288500,43.95142335910
25,17,-124.90073368300,44.22738550700
25,18,-124.58410975600,44.53509393560
25,19,-124.23588879300,45.01338865280
25,20,-124.26356063700,45.68441383690
25,21,-124.43864874300,45.87001112770
25,22,-124.28676840200,46.27840800610
26,1,-124.85891416600,42.99350866000
26,2,-124.77768391200,42.89469449380
26,3,-124.71446588200,42.55340578190
26,4,-124.80484048900,42.49231831830
26,5,-124.61673198600,42.31914146560
26,6,-124.58043021700,41.98243985400
26,7,-124.35485004100,41.13990381030
26,8,-124.45993194900,40.79434557390
26,9,-124.65095030100,40.58081994790
26,10,-124.58196961900,40.41582363340
26,11,-124.54323223700,40.41527270770
26,12,-124.57123885800,40.51363672360
26,13,-124.60431401600,40.58878145330
26,14,-124.39920187800,40.81321605150
26,15,-124.32667489800,41.10541043740
26,16,-124.53442583000,41.98568116130
26,17,-124.58087925400,42.32621716720
26,18,-124.70348601200,42.46967324830
26,19,-124.65352067400,42.55772787640
26,20,-124.74188414300,42.95183146500
26,21,-124.85891416600,42.99350866000
27,1,-124.54323223700,40.41527270770
27,2,-124.58196961900,40.41582363340
27,3,-124.46665635300,40.36554361310
27,4,-124.43472436600,40.27360190110
27,5,-124.57105695100,40.28181815820
27,6,-124.29212776300,40.08457238730
27,7,-124.24691743500,40.08774076010
27,8,-124.50317231000,40.25866325680
27,9,-124.42015260500,40.26060760160
27,10,-124.44646570900,40.37099730460
27,11,-124.54323223700,40.41527270770
28,1,-124.24691743500,40.08774076010
