"","x"
"247","Shark_B9_StructN"
"248","Shark_B10_StructN"
"249","Shark_D1_StructN"
"250","Shark_D2_StructN"
"251","Shark_D3_StructN"
"252","Shark_D4_StructN"
"253","Shark_D5_StructN"
"254","Shark_D6_StructN"
"255","Shark_D7_StructN"
"256","Shark_D8_StructN"
"257","Shark_D9_StructN"
"258","Shark_D10_StructN"
"259","Shark_P1_StructN"
"260","Shark_P2_StructN"
"261","Shark_P3_StructN"
"262","Shark_P4_StructN"
"263","Shark_P5_StructN"
"264","Shark_P6_StructN"
"265","Shark_P7_StructN"
"266","Shark_P8_StructN"
"267","Shark_P9_StructN"
"268","Shark_P10_StructN"
"269","SkateRay1_StructN"
"270","SkateRay2_StructN"
"271","SkateRay3_StructN"
"272","SkateRay4_StructN"
"273","SkateRay5_StructN"
"274","SkateRay6_StructN"
"275","SkateRay7_StructN"
"276","SkateRay8_StructN"
"277","SkateRay9_StructN"
"278","SkateRay10_StructN"
"279","Seabird1_StructN"
"280","Seabird2_StructN"
"281","Seabird3_StructN"
"282","Seabird4_StructN"
"283","Seabird5_StructN"
"284","Seabird6_StructN"
"285","Seabird7_StructN"
"286","Seabird8_StructN"
"287","Seabird9_StructN"
"288","Seabird10_StructN"
"289","Reptile1_StructN"
"290","Reptile2_StructN"
"291","Reptile3_StructN"
"292","Reptile4_StructN"
"293","Reptile5_StructN"
"294","Reptile6_StructN"
"295","Reptile7_StructN"
"296","Reptile8_StructN"
"297","Reptile9_StructN"
"298","Reptile10_StructN"
"299","Pinniped1_StructN"
"300","Pinniped2_StructN"
"301","Pinniped3_StructN"
"302","Pinniped4_StructN"
"303","Pinniped5_StructN"
"304","Pinniped6_StructN"
"305","Pinniped7_StructN"
"306","Pinniped8_StructN"
"307","Pinniped9_StructN"
"308","Pinniped10_StructN"
"309","Whale_Baleen1_StructN"
"310","Whale_Baleen2_StructN"
"311","Whale_Baleen3_StructN"
"312","Whale_Baleen4_StructN"
"313","Whale_Baleen5_StructN"
"314","Whale_Baleen6_StructN"
"315","Whale_Baleen7_StructN"
"316","Whale_Baleen8_StructN"
"317","Whale_Baleen9_StructN"
"318","Whale_Baleen10_StructN"
"319","Whale_Tooth1_StructN"
"320","Whale_Tooth2_StructN"
"321","Whale_Tooth3_StructN"
"322","Whale_Tooth4_StructN"
"323","Whale_Tooth5_StructN"
"324","Whale_Tooth6_StructN"
"325","Whale_Tooth7_StructN"
"326","Whale_Tooth8_StructN"
"327","Whale_Tooth9_StructN"
"328","Whale_Tooth10_StructN"
"329","Planktiv_S_Fish1_ResN"
"330","Planktiv_S_Fish2_ResN"
"331","Planktiv_S_Fish3_ResN"
"332","Planktiv_S_Fish4_ResN"
"333","Planktiv_S_Fish5_ResN"
"334","Planktiv_S_Fish6_ResN"
"335","Planktiv_S_Fish7_ResN"
"336","Planktiv_S_Fish8_ResN"
"337","Planktiv_S_Fish9_ResN"
"338","Planktiv_S_Fish10_ResN"
"339","Planktiv_L_Fish1_ResN"
"340","Planktiv_L_Fish2_ResN"
"341","Planktiv_L_Fish3_ResN"
"342","Planktiv_L_Fish4_ResN"
"343","Planktiv_L_Fish5_ResN"
"344","Planktiv_L_Fish6_ResN"
"345","Planktiv_L_Fish7_ResN"
"346","Planktiv_L_Fish8_ResN"
"347","Planktiv_L_Fish9_ResN"
"348","Planktiv_L_Fish10_ResN"
"349","Pisciv_S_Fish1_ResN"
"350","Pisciv_S_Fish2_ResN"
"351","Pisciv_S_Fish3_ResN"
"352","Pisciv_S_Fish4_ResN"
"353","Pisciv_S_Fish5_ResN"
"354","Pisciv_S_Fish6_ResN"
"355","Pisciv_S_Fish7_ResN"
"356","Pisciv_S_Fish8_ResN"
"357","Pisciv_S_Fish9_ResN"
"358","Pisciv_S_Fish10_ResN"
"359","Pisciv_D_Fish1_ResN"
"360","Pisciv_D_Fish2_ResN"
"361","Pisciv_D_Fish3_ResN"
